age,job,marital,education,default,housing,loan,duration,campaign,y
44,4,0,6,0,2,0,172,1,0
47,0,1,6,1,2,0,176,1,0
57,11,1,7,1,0,0,211,1,0
37,0,1,6,1,2,0,214,1,0
41,1,0,0,1,2,0,1575,1,1
55,9,1,6,0,0,0,349,1,0
33,7,1,3,1,2,0,337,2,0
55,4,1,7,1,2,0,272,1,0
42,1,1,2,1,0,0,208,1,0
50,1,1,0,1,2,0,193,1,0
51,1,1,0,1,1,1,212,1,0
38,0,1,3,1,0,0,165,2,0
49,2,1,6,1,2,0,1042,1,1
38,9,2,6,0,0,2,20,1,0
31,0,0,3,0,0,0,246,1,0
41,4,1,1,0,0,0,529,2,0
39,0,1,6,0,2,2,192,1,0
49,9,1,2,0,0,0,1467,1,1
34,0,1,3,0,2,0,188,2,0
35,0,1,6,0,2,0,180,2,0
57,11,1,7,1,2,0,48,1,0
60,0,1,7,1,0,2,213,2,0
33,10,1,2,0,0,0,545,1,0
42,1,1,1,0,0,2,583,1,0
45,7,1,5,0,2,0,221,1,0
42,4,1,6,0,0,0,426,1,0
53,0,0,6,1,0,0,287,1,0
37,9,2,5,0,0,0,197,1,0
44,1,1,1,0,0,0,257,1,0
54,7,1,7,0,2,0,229,1,0
49,1,1,0,0,0,0,55,3,0
54,7,1,7,0,0,0,400,1,0
52,0,0,6,0,0,0,197,1,0
52,0,0,6,0,0,0,190,1,0
43,7,2,3,1,0,0,21,1,0
34,3,1,1,0,2,0,300,2,0
35,0,1,3,0,2,0,123,2,0
42,2,1,7,1,2,0,293,1,0
43,9,1,7,1,2,2,325,1,0
60,5,0,6,1,0,0,514,1,0
58,10,1,0,1,0,0,849,2,0
35,7,0,3,0,2,0,194,1,0
55,1,1,2,1,2,0,212,2,0
37,4,1,6,0,0,0,337,2,0
36,1,1,3,0,0,0,286,1,0
52,0,0,6,0,0,0,247,2,0
57,1,0,7,1,2,0,518,1,0
56,0,1,7,0,2,0,364,1,0
48,1,0,0,1,2,0,178,1,0
40,1,1,3,1,2,0,98,1,0
49,1,0,3,0,0,0,439,1,0
41,7,1,3,0,0,0,139,1,0
45,9,1,3,0,2,0,79,1,0
32,0,1,6,0,2,2,175,1,0
42,0,1,6,0,0,2,262,2,0
50,0,1,1,0,0,0,61,1,0
31,9,0,5,0,2,2,78,1,0
56,5,1,0,0,2,0,102,2,0
41,9,1,5,1,2,0,579,1,1
37,1,1,1,0,2,2,143,1,0
41,9,1,5,1,0,0,677,1,0
35,1,1,7,0,2,0,267,1,0
37,1,1,1,0,2,0,345,1,0
52,4,1,6,0,0,0,185,1,0
39,4,0,6,0,0,0,207,1,0
39,3,1,0,1,0,0,69,2,0
56,1,1,0,1,0,0,100,2,0
34,7,1,3,0,2,0,125,2,0
45,1,1,2,1,2,0,461,1,1
43,10,2,6,0,2,0,240,1,0
56,4,1,7,0,2,0,70,1,0
39,4,1,6,0,2,0,193,1,0
53,1,1,0,0,2,0,136,1,0
38,11,0,3,1,2,0,73,1,0
42,1,1,0,1,2,0,528,1,0
42,1,1,0,1,0,0,541,1,0
35,0,2,3,0,2,0,338,1,0
40,0,1,6,1,2,0,163,1,0
51,1,1,0,0,2,0,87,1,0
60,1,1,2,1,0,0,301,1,0
56,2,1,7,1,2,0,46,1,0
39,7,0,3,1,2,0,52,1,0
56,2,1,7,1,0,0,204,1,0
40,1,1,7,0,2,2,155,1,0
36,1,1,2,0,2,2,98,1,0
51,1,1,7,1,2,0,71,1,0
51,1,1,7,1,0,0,243,1,0
43,9,2,5,0,2,0,186,2,0
59,7,1,3,0,0,0,579,2,0
24,4,2,6,0,2,0,165,2,0
37,1,2,2,1,2,2,163,2,0
40,1,1,2,1,0,0,46,1,0
42,1,1,2,1,0,0,559,3,0
39,7,0,3,1,0,0,2033,1,0
37,2,1,1,0,0,0,85,1,0
38,7,1,3,0,2,2,506,1,0
56,0,0,7,1,0,0,114,2,0
40,1,1,7,0,0,0,114,2,0
54,4,0,6,0,2,0,843,2,0
43,1,1,3,1,0,2,181,1,0
36,7,1,3,1,0,0,427,1,0
45,9,1,6,0,2,2,292,1,0
42,0,2,6,1,0,0,192,1,0
43,7,1,3,0,0,0,93,3,0
46,4,1,2,0,0,0,128,2,0
44,7,1,3,0,2,2,107,1,0
51,0,2,1,0,0,0,303,2,0
28,7,1,3,0,2,0,81,1,0
37,1,1,2,0,0,0,270,1,0
34,9,1,3,0,0,0,228,1,0
46,1,1,1,1,2,0,240,1,0
42,1,1,2,0,2,2,673,2,1
36,0,1,6,0,2,0,233,3,0
54,1,1,0,1,0,0,102,1,0
57,4,1,6,0,0,0,461,1,0
51,9,1,1,1,0,0,250,1,0
54,5,1,3,1,0,0,130,1,0
49,1,1,0,1,0,0,252,1,0
34,0,1,6,0,2,0,138,1,0
41,9,1,5,0,0,0,412,1,0
38,1,2,2,0,2,0,179,2,0
45,4,0,6,0,0,0,19,2,0
42,9,1,6,0,0,0,228,2,0
34,1,2,2,1,2,0,55,1,0
48,1,1,0,0,2,0,717,1,0
37,0,1,3,1,2,0,313,1,0
34,1,2,2,1,0,0,289,1,0
40,0,1,2,1,2,0,683,2,0
43,1,1,1,0,2,0,1077,1,0
33,7,1,3,0,0,0,146,2,0
32,7,2,1,0,0,0,167,1,0
39,1,1,3,0,2,0,356,2,0
43,0,1,7,0,0,0,277,1,0
44,1,1,2,0,2,0,172,1,0
35,8,2,6,1,0,0,218,1,0
35,8,2,6,1,2,2,217,1,0
35,10,1,5,0,0,0,67,1,0
36,7,2,0,0,0,0,291,1,0
35,8,2,6,1,2,0,248,1,0
36,8,2,2,0,2,0,256,1,0
55,3,0,6,0,0,0,286,1,0
59,0,1,6,0,0,0,477,1,0
57,5,1,7,1,0,0,611,2,0
39,1,1,5,1,2,0,471,1,0
39,3,1,0,1,2,0,381,2,0
30,1,2,7,0,2,0,251,1,0
30,1,2,7,0,2,2,408,1,0
50,3,1,0,1,0,0,287,1,0
40,7,1,3,0,0,0,322,3,0
35,0,1,3,0,2,0,216,2,0
43,9,1,7,1,0,0,366,2,0
36,7,2,1,1,2,0,210,1,0
46,9,1,0,1,2,0,288,1,0
40,9,1,2,0,0,0,168,1,0
58,5,1,6,0,0,0,132,1,0
42,9,1,6,0,0,0,64,2,0
35,0,2,6,0,0,0,209,2,0
43,5,1,0,1,0,0,410,3,0
45,1,1,0,0,2,2,177,1,0
39,0,1,5,0,2,0,580,2,0
50,7,0,5,0,2,0,165,1,0
32,4,0,0,1,2,0,127,2,0
39,0,1,3,1,0,0,357,1,0
52,6,1,6,1,0,0,175,1,0
44,0,1,5,0,2,0,300,1,0
56,1,1,0,0,0,0,136,1,0
48,0,1,3,0,0,0,125,2,0
33,7,1,3,1,0,2,189,2,0
43,4,1,6,1,0,2,213,3,0
57,5,1,3,0,0,0,238,2,0
36,9,2,5,0,0,0,124,1,0
34,4,1,6,0,2,0,18,1,0
34,7,2,2,0,0,0,730,2,0
30,9,1,6,1,0,0,40,1,0
33,7,0,7,0,0,0,181,2,0
32,9,2,5,0,0,0,79,1,0
36,9,2,3,0,2,0,142,2,0
36,1,2,3,0,0,2,389,1,0
33,7,2,3,0,0,0,702,1,0
40,9,0,5,0,0,0,151,1,0
41,1,1,0,0,2,0,211,1,0
51,7,1,1,0,2,0,117,1,0
36,9,1,5,0,2,0,232,3,0
28,7,1,7,0,0,0,408,2,0
53,7,1,3,0,2,2,370,3,0
58,1,1,2,1,2,0,179,2,0
45,4,1,2,0,0,2,46,1,0
43,9,1,7,0,2,0,200,1,0
33,0,1,3,0,0,2,50,1,0
33,0,1,3,0,0,2,181,1,0
27,1,2,1,0,1,1,119,1,0
42,9,1,3,0,0,0,361,1,0
43,0,0,2,0,0,0,73,3,0
42,0,1,6,0,0,0,67,2,0
27,1,2,1,0,0,0,350,1,0
34,6,2,6,0,2,0,150,2,0
31,8,2,6,1,0,0,332,2,0
54,4,0,6,0,0,0,611,2,0
40,6,1,0,1,0,0,58,3,0
52,10,1,3,1,2,0,151,1,0
47,4,0,6,0,0,0,89,2,0
49,3,1,2,1,0,0,152,1,0
32,0,2,3,0,0,0,611,2,0
49,3,2,3,1,2,2,110,2,0
50,1,1,2,1,0,0,463,1,0
34,7,1,3,0,0,0,962,1,0
55,1,1,0,1,0,0,102,2,0
47,9,2,2,0,0,0,10,4,0
51,5,1,5,0,0,0,118,3,0
47,1,1,1,0,0,0,92,2,0
56,9,1,0,0,2,0,143,3,0
53,0,1,2,0,0,0,189,3,0
36,1,1,2,0,2,0,75,2,0
42,1,0,2,0,2,0,189,2,0
44,1,0,1,0,0,0,55,2,0
39,3,1,2,0,2,0,935,3,1
37,0,2,3,0,2,2,56,2,0
60,1,1,7,1,2,0,5,2,0
36,7,1,3,0,0,0,225,2,0
42,4,0,6,0,2,0,125,2,0
31,0,1,3,0,2,2,286,2,0
53,9,0,5,1,0,2,206,2,0
45,1,1,0,0,2,0,164,2,0
37,9,2,5,0,2,0,98,2,0
47,6,1,5,0,0,0,446,2,0
49,1,0,3,0,0,2,742,2,0
36,0,1,6,0,2,0,120,2,0
35,7,0,3,0,0,0,122,3,0
38,11,1,7,1,0,0,362,4,0
38,7,2,3,1,0,0,357,2,0
50,1,0,3,1,0,2,200,2,0
59,5,1,5,1,0,0,107,2,0
43,11,1,7,0,2,0,267,2,0
42,0,1,3,0,2,0,248,2,0
40,0,1,1,1,2,0,215,2,0
46,1,1,7,1,0,0,209,2,0
57,3,0,0,0,2,2,205,2,0
42,0,1,6,0,2,0,261,3,0
41,1,1,0,0,2,0,83,2,0
54,4,0,6,0,2,0,106,3,0
27,0,2,6,0,0,0,106,2,0
36,0,1,3,0,0,0,108,2,0
58,1,1,5,1,2,0,214,2,0
40,4,1,6,1,2,0,358,2,0
34,0,2,2,1,0,0,453,2,0
33,0,0,3,0,0,0,364,2,0
56,5,1,1,0,0,0,136,2,0
42,1,1,2,0,0,0,173,2,0
43,7,1,3,0,2,0,241,2,0
54,4,2,2,0,2,0,224,3,0
53,0,2,1,0,2,2,148,2,0
42,9,2,7,0,0,0,230,2,0
40,7,1,1,1,0,0,199,3,0
54,9,1,5,0,2,2,196,2,0
40,3,2,5,0,0,0,111,4,0
26,0,2,6,0,2,0,231,3,0
33,0,1,3,0,0,0,316,3,0
35,1,1,2,1,0,0,240,2,0
36,0,1,3,0,0,0,669,3,0
29,7,2,3,0,2,0,425,2,0
36,1,1,2,0,2,0,121,2,0
35,4,1,3,0,2,0,174,5,0
50,6,2,6,0,0,2,88,5,0
46,7,1,3,1,2,0,313,3,0
49,2,1,3,0,2,0,135,4,0
42,9,2,5,1,2,0,152,2,0
36,1,2,3,0,2,2,402,3,0
55,1,1,2,1,2,0,221,2,0
41,4,1,6,1,0,0,213,2,0
57,4,1,5,1,2,0,144,3,0
32,7,2,3,0,2,0,158,3,0
49,0,1,2,0,0,0,220,3,0
57,11,1,7,1,2,0,325,2,0
58,1,0,0,0,2,0,254,2,0
52,9,1,3,0,2,0,503,2,0
50,7,0,5,0,0,0,680,2,0
41,1,2,2,1,2,0,421,4,0
33,2,1,6,0,2,0,130,3,0
57,1,1,0,0,0,0,164,2,0
48,1,1,1,1,0,0,174,3,0
55,9,1,5,0,0,0,113,2,0
38,4,1,6,0,0,0,195,2,0
38,7,1,3,0,2,0,347,3,0
53,0,1,6,0,2,0,208,2,0
43,10,2,6,0,0,0,404,4,0
36,1,2,3,0,0,0,396,2,0
32,1,1,2,0,0,0,98,2,0
33,7,1,0,0,0,0,229,3,0
58,2,1,0,0,2,0,350,2,0
40,10,0,3,1,0,0,88,3,0
57,4,1,6,0,2,0,379,2,0
45,9,1,3,0,2,0,168,3,0
42,1,1,0,1,2,0,190,3,0
46,0,1,6,0,2,0,158,1,0
36,9,1,6,0,0,0,210,1,0
41,6,1,3,0,2,0,102,1,0
57,0,0,2,0,0,0,306,1,0
49,1,1,2,1,2,0,64,1,0
56,4,0,3,0,0,0,218,1,0
37,1,1,2,0,0,0,77,1,0
37,1,1,2,0,0,2,54,1,0
46,0,2,3,0,2,0,344,1,0
22,1,2,2,0,2,0,195,1,0
43,7,1,3,0,0,0,202,1,0
49,1,1,7,0,0,0,286,1,0
41,9,1,1,0,2,0,278,1,0
38,0,2,6,0,0,0,189,1,0
33,0,1,2,0,0,0,83,1,0
49,0,1,6,0,2,2,18,1,0
30,1,2,7,0,0,0,184,2,0
33,0,1,2,0,2,0,235,1,0
34,4,2,6,0,0,0,290,1,0
30,8,2,7,1,0,0,133,1,0
59,4,1,0,1,2,2,318,1,0
59,4,1,0,1,1,1,437,1,0
41,6,1,6,0,0,0,402,1,0
48,3,1,1,1,2,2,501,4,0
28,11,2,7,1,2,2,1201,1,1
44,7,1,3,0,2,0,1030,1,1
59,5,3,6,1,0,0,253,1,0
50,4,1,3,1,0,0,149,1,0
35,0,1,6,0,0,0,144,1,0
42,0,1,3,0,0,0,69,1,0
45,0,1,2,0,0,0,243,1,0
36,9,1,5,0,0,0,769,2,0
56,7,1,3,1,0,0,135,3,0
29,1,0,0,0,0,0,231,1,0
41,6,1,6,0,2,2,442,2,0
42,1,1,2,1,0,0,199,1,0
52,7,2,3,0,0,0,455,1,0
48,7,1,3,1,1,1,152,1,0
31,1,1,3,1,2,0,124,1,0
43,10,1,6,1,2,0,424,1,0
36,1,1,0,1,0,0,43,1,0
42,2,1,6,0,2,0,154,1,0
52,7,0,1,0,0,0,393,1,0
39,0,1,3,0,2,0,203,2,0
36,7,1,3,0,0,2,140,2,0
42,1,1,2,1,2,0,326,1,0
41,0,1,3,0,0,0,483,1,0
55,9,1,0,0,0,2,259,1,0
30,1,1,2,0,0,0,227,1,0
57,5,3,0,0,0,0,673,1,0
45,2,1,0,1,2,0,576,1,0
51,1,1,0,1,2,2,180,2,0
39,6,2,2,1,2,2,90,1,0
47,0,1,3,1,0,0,505,1,0
27,7,1,3,0,2,0,245,1,0
34,9,2,6,0,2,0,186,1,0
57,1,1,0,1,2,0,208,1,0
43,2,1,0,0,0,0,623,1,0
49,1,1,0,1,0,0,180,1,0
39,4,1,6,1,0,0,496,3,0
38,1,1,0,1,2,0,118,1,0
49,1,1,2,0,0,0,102,2,0
58,4,1,1,0,0,0,342,1,0
43,9,1,5,0,2,0,225,1,0
50,11,1,7,1,2,0,185,3,0
31,7,1,3,1,0,0,276,1,0
43,6,0,6,0,0,0,87,1,0
43,6,1,2,1,0,0,744,1,0
30,6,2,6,0,2,0,262,1,0
27,7,2,5,0,2,2,271,1,0
51,7,1,7,1,0,0,141,1,0
37,9,1,5,0,2,0,198,2,0
46,3,1,2,0,2,0,150,1,0
35,1,1,5,0,0,0,241,1,0
47,0,0,6,0,0,0,196,1,0
46,4,1,7,0,2,0,149,1,0
40,9,1,5,1,0,2,264,1,0
26,3,1,6,0,0,0,246,1,0
32,1,0,2,1,0,0,309,2,0
45,4,1,6,0,2,0,140,1,0
34,0,1,2,0,0,0,175,1,0
47,1,1,7,1,0,0,136,1,0
42,9,1,5,0,0,0,1623,1,1
57,9,1,0,1,0,2,50,1,0
57,9,1,0,1,0,0,101,1,0
38,1,1,0,0,0,2,144,1,0
57,9,1,0,1,0,0,238,1,0
28,8,2,2,1,2,0,354,1,0
60,4,1,6,0,0,0,451,2,0
48,0,1,6,0,2,0,159,1,0
47,9,1,5,0,2,0,170,1,0
40,0,1,3,0,0,0,243,1,0
51,4,1,5,1,2,0,141,2,0
48,10,2,0,0,2,0,112,1,0
54,3,1,0,0,0,0,262,2,0
40,1,1,1,0,0,2,53,1,0
44,0,2,2,1,0,0,134,1,0
42,9,0,3,0,0,0,204,4,0
52,6,1,6,0,2,0,678,1,0
31,1,2,2,0,2,0,182,1,0
32,7,1,3,0,0,0,162,1,0
44,0,1,3,0,2,2,177,1,0
39,4,1,1,1,0,0,27,1,0
57,4,1,5,1,2,0,699,3,0
52,0,1,0,0,2,0,358,1,0
42,4,1,6,0,0,0,1677,1,1
42,9,2,5,1,1,1,529,1,0
43,4,1,5,0,2,0,310,1,0
31,0,0,3,0,0,0,47,1,0
29,0,1,6,1,2,0,379,1,0
57,1,0,0,0,0,0,30,2,0
44,1,1,2,1,0,0,472,1,0
59,11,1,7,1,0,0,113,1,0
39,1,1,0,1,0,0,114,1,0
57,5,1,6,0,0,0,116,1,0
41,4,1,7,1,0,0,448,1,0
37,9,2,3,1,0,2,264,1,0
38,7,1,3,0,2,0,169,1,0
42,5,1,0,0,0,0,145,1,0
49,11,1,7,1,2,0,288,1,0
54,4,1,1,1,2,2,381,1,0
36,0,1,6,0,1,1,176,2,0
32,0,2,6,1,0,0,215,1,0
35,9,1,5,0,2,0,278,1,0
45,3,1,5,1,0,0,188,2,0
56,9,1,7,0,2,0,174,2,0
34,9,1,6,0,2,0,226,2,0
41,10,1,2,1,0,0,111,2,0
41,7,1,2,0,0,0,157,2,0
36,1,1,2,1,0,0,46,1,0
32,0,2,6,1,1,1,49,1,0
31,7,1,3,1,1,1,374,1,0
38,9,1,5,0,2,0,349,1,0
35,0,0,6,1,2,0,325,1,0
53,0,1,5,0,2,0,233,2,0
51,0,1,1,1,2,0,531,1,0
56,2,1,6,1,0,0,153,1,0
33,0,1,2,0,1,1,80,1,0
33,0,1,2,0,0,0,198,1,0
51,7,0,3,1,2,0,568,1,0
39,7,1,3,1,2,0,918,1,1
45,2,1,6,0,0,0,82,1,0
40,9,2,6,0,0,0,198,3,0
60,11,2,7,1,2,0,211,1,0
33,9,1,6,0,2,0,120,1,0
47,1,1,3,1,2,0,269,1,0
48,1,1,0,0,0,0,128,1,0
43,2,1,3,0,0,0,166,2,0
37,4,1,6,0,2,0,211,1,0
50,7,1,2,0,2,2,369,1,0
59,2,1,3,0,2,0,91,1,0
32,9,1,7,1,2,0,267,2,0
42,3,2,0,1,2,0,198,1,0
52,1,1,0,0,0,0,371,2,0
42,1,1,7,1,0,0,288,2,0
42,0,1,7,0,0,0,221,1,0
40,4,1,2,1,1,1,427,1,0
38,1,1,2,0,0,0,310,1,0
39,1,1,1,0,2,0,158,1,0
39,1,1,1,0,0,0,198,1,0
38,0,1,3,0,0,0,145,1,0
47,0,2,7,1,2,0,247,1,0
30,7,2,3,0,0,0,102,1,0
38,0,0,3,0,2,2,179,2,0
39,9,0,6,0,0,0,73,1,0
44,0,1,3,0,0,0,263,2,0
36,0,1,3,0,0,0,342,2,0
41,7,1,3,1,2,2,41,1,0
41,1,1,1,0,0,0,13,1,0
35,1,1,2,0,0,0,79,2,0
41,9,1,3,0,0,0,358,1,0
36,7,1,3,1,0,0,162,1,0
35,0,2,3,0,2,2,150,1,0
33,1,2,0,1,0,0,26,1,0
38,0,2,1,1,0,0,250,1,0
33,6,1,6,0,0,0,792,1,0
55,6,1,7,1,0,0,146,1,0
36,1,2,2,1,0,0,440,1,0
57,9,1,5,1,0,2,289,1,0
32,2,2,6,0,2,0,242,2,0
30,6,2,3,0,2,0,123,1,0
43,0,1,5,0,2,2,161,2,0
46,0,1,6,0,0,0,268,2,0
35,0,0,3,0,0,2,259,2,0
34,0,2,6,0,2,2,26,1,0
50,1,1,0,1,1,1,153,1,0
39,0,2,6,0,0,0,424,2,0
39,1,1,2,1,0,0,375,1,0
42,2,1,1,0,0,0,179,2,0
57,5,1,6,0,2,0,383,1,0
45,1,1,0,1,0,0,440,1,0
40,9,1,0,0,0,2,195,1,0
42,1,1,3,0,0,2,1297,3,1
40,9,1,0,0,0,0,217,1,0
38,1,2,0,1,0,0,87,1,0
39,1,1,1,1,2,2,427,1,0
41,1,1,0,0,0,0,189,1,0
39,1,1,1,1,2,0,502,1,0
41,1,1,0,0,2,2,260,1,0
45,0,1,6,1,0,0,209,1,0
35,0,0,6,0,1,1,179,1,0
35,0,1,1,0,2,0,179,1,0
49,1,1,3,1,0,0,69,1,0
36,9,1,7,0,0,0,105,2,0
23,0,2,6,0,0,0,266,3,0
43,10,1,6,1,1,1,87,2,0
49,2,1,5,0,1,1,524,2,0
36,9,1,5,0,1,1,155,2,0
51,1,1,2,1,2,0,162,2,0
56,5,1,0,1,2,2,316,4,0
45,3,1,3,0,0,0,352,2,0
42,0,1,3,0,0,0,695,3,0
41,0,0,3,0,0,0,76,4,0
32,7,1,3,1,0,2,535,2,0
46,4,1,6,0,0,0,310,2,0
37,1,1,7,0,0,0,390,3,0
53,4,1,6,1,0,0,369,1,0
30,1,1,0,0,0,0,112,2,0
45,11,1,7,1,0,0,79,1,0
24,9,2,5,0,0,2,140,2,0
45,11,1,7,1,0,0,315,1,0
34,0,2,6,0,0,2,262,2,0
41,4,1,6,1,0,0,174,2,0
59,1,1,0,0,2,0,424,2,0
45,1,1,0,1,0,0,135,1,0
54,1,1,1,1,0,0,36,5,0
32,9,1,5,0,0,0,1906,3,0
33,9,1,5,0,2,0,219,2,0
32,0,1,6,0,0,0,135,1,0
34,7,2,3,0,1,1,147,2,0
46,4,1,6,0,0,0,407,2,0
57,9,1,5,0,2,0,402,4,0
42,9,1,2,0,0,0,209,1,0
48,0,1,5,0,2,0,92,2,0
58,0,0,6,1,2,0,208,1,0
34,7,1,3,0,0,0,193,1,0
32,0,2,6,0,2,2,65,1,0
48,1,1,2,0,0,0,284,2,0
47,1,1,2,0,0,0,285,1,0
31,7,1,3,1,0,0,231,1,0
32,0,2,6,0,2,0,278,1,0
32,0,2,6,0,0,0,389,1,0
36,7,1,3,0,0,0,158,1,0
53,1,1,0,1,0,2,78,2,0
37,1,1,2,1,0,0,258,5,0
50,7,1,3,0,0,0,87,1,0
46,1,1,1,0,2,0,147,2,0
41,0,1,3,0,0,0,635,1,0
43,1,2,0,0,0,0,289,1,0
51,4,1,6,0,2,0,170,3,0
38,0,1,6,0,2,0,802,1,0
41,9,1,1,0,2,0,381,2,0
39,7,1,3,1,0,0,218,4,0
52,1,1,0,0,0,0,57,2,0
37,9,1,5,0,2,0,304,2,0
41,0,1,2,0,2,0,241,3,0
46,0,0,6,0,2,2,230,1,0
47,9,1,5,0,0,0,79,4,0
35,9,1,5,0,0,0,262,3,0
38,7,1,3,1,0,0,392,2,0
30,1,2,7,0,2,2,201,2,0
46,1,1,2,0,2,0,145,1,0
30,9,1,5,0,0,0,252,1,0
35,7,2,0,0,0,0,329,1,0
58,0,1,7,1,2,0,328,2,0
40,9,1,5,0,0,0,191,2,0
34,9,1,6,0,0,0,116,2,0
30,0,2,6,0,0,0,246,1,0
38,7,1,1,0,0,0,532,2,0
55,4,2,0,0,0,0,293,1,0
55,4,1,6,1,2,0,416,3,0
45,9,2,5,0,2,0,37,2,0
36,0,1,6,0,2,2,132,2,0
32,0,2,6,0,0,0,530,2,0
35,9,1,7,1,2,0,175,3,0
55,4,0,6,0,2,0,90,5,0
49,3,1,0,1,1,1,524,2,0
29,0,1,3,0,2,0,29,3,0
34,1,1,0,0,2,0,311,2,0
54,5,1,3,1,2,0,412,1,0
36,9,2,5,0,0,0,211,2,0
30,4,2,6,0,2,0,312,3,0
33,3,0,6,0,0,0,392,1,0
37,1,1,3,0,0,0,191,1,0
36,9,1,2,1,2,0,284,2,0
33,1,1,3,0,0,0,328,1,0
32,3,1,3,0,2,0,100,1,0
32,3,1,3,0,0,0,226,1,0
50,1,1,0,1,2,0,507,1,0
39,1,1,2,0,0,2,333,2,0
51,1,0,7,1,2,2,128,2,0
33,7,1,3,0,0,0,322,2,0
33,7,1,0,0,0,0,202,4,0
56,4,1,6,1,0,2,92,2,0
39,4,0,6,1,2,0,205,2,0
33,6,2,6,0,0,0,739,3,0
59,5,0,0,1,0,0,273,2,0
42,0,2,7,0,2,0,339,3,0
43,7,1,3,0,0,2,262,1,0
35,0,1,6,0,1,1,308,3,0
46,1,1,1,1,2,0,467,2,0
27,9,1,2,0,0,2,245,2,0
47,0,0,6,0,2,0,160,3,0
31,0,2,6,0,0,0,189,2,0
32,1,1,2,0,2,0,477,1,0
54,0,1,3,0,0,0,65,3,0
56,4,1,6,1,0,0,191,1,0
48,7,2,3,1,2,0,196,2,0
44,0,1,3,0,2,0,221,2,0
46,0,1,3,0,0,2,197,2,0
45,7,1,3,0,2,0,178,2,0
43,0,1,5,0,0,2,221,2,0
40,0,2,3,1,0,0,64,2,0
56,4,1,6,0,2,0,75,2,0
47,2,1,5,0,0,0,400,2,0
39,4,0,6,1,2,0,378,3,0
48,9,1,0,1,0,0,118,2,0
45,3,1,5,1,2,0,1597,2,1
36,6,1,6,0,0,0,346,2,0
49,4,1,5,1,2,0,107,2,0
46,7,1,3,0,0,0,60,3,0
38,1,1,2,0,2,0,276,2,0
50,3,1,0,1,2,0,176,2,0
27,0,2,3,0,2,0,390,2,0
40,9,1,5,1,2,0,251,3,0
46,4,1,6,0,2,0,716,2,0
40,0,0,6,0,2,0,189,3,0
33,4,2,6,0,0,0,125,2,0
54,5,1,3,0,2,0,234,2,0
52,1,1,0,1,2,0,79,2,0
53,0,1,6,1,2,0,13,6,0
49,7,1,3,1,0,0,296,3,0
